LotFrontage,LotArea,MiscVal,MoSold,YrSold,SalePrice,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD
65.0,8450,-0.0876878115176986,-1.333333333333333,0.0,208500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80.0,9600,-0.0876878115176986,-0.3333333333333332,-0.5,181500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68.0,11250,-0.0876878115176986,1.0000000000000002,0.0,223500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,9550,-0.0876878115176986,-1.333333333333333,-1.0,140000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84.0,14260,-0.0876878115176986,2.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85.0,14115,1.3237359981507422,1.3333333333333337,0.5,143000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75.0,10084,-0.0876878115176986,0.6666666666666669,-0.5,307000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,10382,0.6180240933165219,1.666666666666667,0.5,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,6120,-0.0876878115176986,-0.6666666666666664,0.0,129900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,7420,-0.0876878115176986,-1.6666666666666663,0.0,118000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.0,11200,-0.0876878115176986,-1.333333333333333,0.0,129500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85.0,11924,-0.0876878115176986,0.3333333333333334,-1.0,345000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,12968,-0.0876878115176986,1.0000000000000002,0.0,144000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91.0,10652,-0.0876878115176986,0.6666666666666669,-0.5,279500,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,10920,-0.0876878115176986,-0.3333333333333332,0.0,157000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,6120,-0.0876878115176986,0.3333333333333334,-0.5,132000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,11241,1.3237359981507422,-0.9999999999999998,1.0,149000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72.0,10791,0.9204720525311878,1.3333333333333337,-1.0,90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,13695,-0.0876878115176986,0.0,0.0,159000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.0,7560,-0.0876878115176986,-0.3333333333333332,0.5,139000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,14215,-0.0876878115176986,1.666666666666667,-1.0,325300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57.0,7449,-0.0876878115176986,0.0,-0.5,139400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
